Category,Ad Name,Asset ID,Headline,Problem,Solution,Offer Style,CTA Text,CTA Position,Social Proof,Emotion,Brand,Urgency,Contrast,Color,Human Presence,Headline Number,% Sign,$ Sign,FREE,ALL CAPS
MediaGO,Dark before and after,24575432,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,High,Warm,None,N,N,N,Y,N
MediaGO,image,24575446,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Face Subtle,N,N,N,N,N
MediaGO,Man on ladder,24858831,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,Man on ladder,24858826,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,image,24858834,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,24858833,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,24858828,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,image,24858829,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Face Subtle,N,N,N,N,N
MediaGO,d0a3c92c-4fb9-451c-91ad-6291077fb5a0,24858827,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,None,N,N,N,N,N
MediaGO,Dark before and after,24858825,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,High,Warm,None,N,N,N,N,N
MediaGO,Dark before and after,24858830,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,High,Cool,None,N,N,N,N,N
MediaGO,d0a3c92c-4fb9-451c-91ad-6291077fb5a0,24858832,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,None,N,N,N,N,N
MediaGO,MediaGo Asset 2,24915003,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,Y,N
MediaGO,MediaGo Asset 1,24915002,"Strong, Weatherproof Windows for Any Climate",Outdated,Energy Efficiency,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,MediaGo Asset 1,24915000,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,MediaGo Asset 2,24915001,Luxury Replacement Windows That Elevate Every Room,Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,Y,N
MediaGO,MediaGo Asset 1,24915304,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,MediaGo Asset 2,24915303,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,Dark before and after,25113750,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Warm,None,N,N,N,N,N
MediaGO,MediaGo Asset 2,25113754,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,Y,N
MediaGO,Dark before and after,25113752,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Warm,None,Y,N,N,N,N
MediaGO,image,25113753,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Face Subtle,Y,N,N,N,N
MediaGO,MediaGo Asset 1,25113755,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,image,25113751,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,MediaGo Asset 2,25113756,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,MediaGo Asset 1,25113757,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,MediaGo Asset 2,25113634,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,Y,Y,N
MediaGO,MediaGo Asset 1,25113635,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,image,25113633,Here's What Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,image,25113632,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Low,Warm,Body No Face,N,N,N,N,N
MediaGO,image (5),25519953,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,image (5),25519945,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,image (5),25519949,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,window wall,25519948,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Warm,None,N,N,N,N,N
MediaGO,Fitting window,25519950,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,window wall,25519956,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,None,N,N,N,N,N
MediaGO,Fitting window,25519958,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,New window carry,25519947,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,Fitting window,25519954,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,window wall,25519952,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,High,Cool,None,N,N,N,N,Y
MediaGO,window wall,25519960,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,New window carry,25519955,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,Y,N,N,N,N
MediaGO,Fitting window,25519946,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Cool,Body No Face,N,N,N,N,N
MediaGO,New window carry,25519951,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,Y,N
MediaGO,image (5),25519957,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,None,N,N,N,Y,N
MediaGO,New window carry,25519959,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,image (5),25520042,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,image (5),25520050,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Low,Cool,None,N,N,N,N,N
MediaGO,image (5),25520046,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,window wall,25520055,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,None,N,N,N,Y,N
MediaGO,Fitting window,25520052,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,image (5),25520054,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Low,Cool,None,N,N,N,N,N
MediaGO,window wall,25520047,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,High,Cool,None,N,N,N,N,N
MediaGO,window wall,25520051,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,None,Y,N,N,N,N
MediaGO,Fitting window,25520056,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,window wall,25520043,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Cool,None,N,N,N,N,N
MediaGO,New window carry,25520053,Here's What New Windows Should Cost You in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,New window carry,25520045,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,Fitting window,25520044,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,Fitting window,25520048,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,New window carry,25520057,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,New window carry,25520049,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},Outdated,Luxury/Comfort,None,Learn More,None,None,Pride/Home Upgrade,No Logo,None,,,Body No Face,,,,,
MediaGO,image (5),25519197,Cut Energy Bills & Noise with These Affordable American-Made Replacement Windows,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Low,Cool,None,N,N,N,Y,N
MediaGO,image (5),25519200,Here's Why These New Windows Are Trending in ${LOCATION_STATE},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,image (5),25519194,"Buy 2 Windows, Get 2 FREE*",Cost/Price,Affordability,BOGO,Learn More,None,None,Urgency/FOMO,No Logo,None,Mid,Warm,None,Y,N,N,Y,N
MediaGO,window peel compressed,25716255,Here's Why These New Windows Are Trending in ${LOCATION_CITY},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,window carry compressed,25716256,Here's Why These New Windows Are Trending in ${LOCATION_CITY},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,beautiful windows compressed,25716257,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,window peel compressed,25716258,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,beautiful windows compressed,25716254,Here's Why These New Windows Are Trending in ${LOCATION_CITY},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,window carry compressed,25716259,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,beautiful windows compressed,25716236,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,None,N,N,N,N,N
MediaGO,window carry compressed,25716238,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Warm,Body No Face,N,N,N,Y,N
MediaGO,window peel compressed,25716237,${LOCATION_CITY}: Stunning Windows Cutting Noise & Energy Bills Now Available,High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,beautiful windows compressed,25716233,Here's Why These New Windows Are Trending in ${LOCATION_CITY},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,None,N,N,N,N,N
MediaGO,window peel compressed,25716234,Here's Why These New Windows Are Trending in ${LOCATION_CITY},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,window carry compressed,25716235,Here's Why These New Windows Are Trending in ${LOCATION_CITY},Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,New window carry,26156740,"${LOCATION_CITY}: Finally, Stunning New Windows Reducing Noise & Energy Bills",High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Cool,Body No Face,N,N,N,Y,N
MediaGO,New window carry,26156743,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Cool,Body No Face,N,N,N,Y,N
MediaGO,mid install window,26156739,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,mid install window,26156742,"${LOCATION_CITY}: Finally, Stunning New Windows Reducing Noise & Energy Bills",High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,Y
MediaGO,mid install window,26156745,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,mid install candid,26156738,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,,,,,
MediaGO,mid install candid,26156744,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
MediaGO,mid install candid,26156741,"${LOCATION_CITY}: Finally, Stunning New Windows Reducing Noise & Energy Bills",High Bills,Energy Efficiency,None,Learn More,None,None,Relief/Comfort,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,Y
MediaGO,New window carry,26156737,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Cool,Body No Face,N,N,N,N,N
MediaGO,92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350,26349773,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,New window carry,26349774,Here's How Much You Should Pay for New Windows in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,Y,N,N,N,N
MediaGO,92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350,26349775,Here's How Much You Should Pay for New Windows in 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,Y,N,Y,Y,N
MediaGO,New window carry,26349776,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Cool,Body No Face,N,N,N,N,N
MediaGO,92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350,26349777,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,New window carry,26349772,${LOCATION_CITY}: How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Face Subtle,N,N,N,N,N
MediaGO,image (7),26349778,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,High,Warm,Body No Face,N,N,N,Y,N
MediaGO,image (7),26349779,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,image (7),26349663,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,image (7),26349664,Here's Why These Brilliant Windows Are Sweeping The U.S. In 2025,Outdated,Beauty/Modernization,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,N,N,N,N,N
MediaGO,image (7),26446565,Here's How Much New Windows Should Cost In 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Warm,Body No Face,Y,N,N,N,N
MediaGO,New window carry,26446564,Here's How Much New Windows Should Cost In 2025,Cost/Price,Affordability,None,Learn More,None,None,Curiosity/Exploratory,No Logo,None,Mid,Cool,Body No Face,N,N,N,N,N
